Orthogroup	Cmi	Cpl	Ler	Loc	Gga	Xtr
N0.HOG0002016			Ler28, Ler01, Ler13, Ler14, Ler05, Ler11, Ler22, Ler04, Ler24, Ler21			
N0.HOG0002017			Ler02, Ler01, Ler20, Ler04, Ler27, Ler11, Ler07			
N0.HOG0002018			Ler15, Ler01, Ler02, Ler03, Ler09			Xtr04
N0.HOG0002019			Ler15, Ler31, Ler05, Ler27, Ler07, Ler04, Ler08, Ler30, Ler03, Ler09			
N0.HOG0002020			Ler15, Ler01, Ler05, Ler27, Ler07, Ler08, Ler02, Ler32, Ler03			
N0.HOG0002021				Loc08, Loc28, Loc02, Loc04		
N0.HOG0002022						Xtr06, Xtr08, Xtr04, Xtr01, Xtr02, Xtr10, Xtr05, Xtr07
N0.HOG0002023						Xtr01, Xtr06, Xtr10, Xtr08, Xtr05, Xtr07, Xtr09
N0.HOG0002024						Xtr06
N0.HOG0002025	Cmi01	Cpl32	Ler01	Loc02	Gga04	Xtr01
N0.HOG0002026	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002027	Cmi01					
N0.HOG0002028	Cmi01	Cpl32	Ler01	Loc02	GgaZ	Xtr01
N0.HOG0002029	Cmi13	Cpl14	Ler11	Loc06, Loc05	Gga13	
N0.HOG0002030	Cmi07	Cpl38	Ler34	Loc05	Gga06	Xtr07
N0.HOG0002031	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002032	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002033	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002034	Cmi01	Cpl01		Loc04	Gga04	Xtr01
N0.HOG0002035	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002036	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002037	Cmi01	Cpl32	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002038	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002039	Cmi01	Cpl32	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002040	Cmi14	Cpl17	Ler17	Loc23		Xtr04
N0.HOG0002041	Cmi01, Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002042	Cmi01	Cpl01	Ler01	Loc02	Gga04	Xtr01
N0.HOG0002043	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002044	Cmi01		Ler01			Xtr01
N0.HOG0002045	Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr07
N0.HOG0002046	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002047	Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr07
N0.HOG0002048	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002049	Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr07
N0.HOG0002050	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002051	Cmi07	Cpl22	Ler15	Loc05	Gga06	Xtr07
N0.HOG0002052	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002053	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002054	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002055	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002056	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002057	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002058	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002059	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002060	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002061	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002062	Cmi01	Cpl02	Ler41	Loc04	Gga04	Xtr01
N0.HOG0002063	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002064	Cmi01	Cpl02	Ler03	Loc04	Gga04	Xtr01
N0.HOG0002065	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002066	Cmi01	Cpl02	Ler03	Loc04	Gga04	Xtr01
N0.HOG0002067	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002068	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002069	Cmi01	Cpl32	Ler01	Loc04	GgaZ	Xtr01
N0.HOG0002070	Cmi01	Cpl32	Ler01	Loc04	Gga04	Xtr01
N0.HOG0002071	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002072	Cmi01	Cpl32	Ler01	Loc02	Gga04	Xtr01
N0.HOG0002073	Cmi13	CplSca	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002074	Cmi01	Cpl02, Cpl36	Ler03	Loc24		Xtr03
N0.HOG0002075		Cpl36	Ler33	Loc03		Xtr08, Xtr03
N0.HOG0002076	Cmi01	Cpl02	Ler03	Loc19	Gga28	Xtr01
N0.HOG0002077	Cmi21	Cpl31	Ler29			Xtr01
N0.HOG0002078	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002079	Cmi21	Cpl31	Ler29	Loc19	Gga28	Xtr01
N0.HOG0002080	Cmi01	Cpl02		Loc24, Loc04	GgaZ	Xtr01
N0.HOG0002081	Cmi26			Loc03	Gga10	Xtr03
N0.HOG0002082	Cmi29	CplSca	Ler39	Loc06	Gga30	Xtr03
N0.HOG0002083	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002084	Cmi22	Cpl40	Ler36	Loc03	Gga10	Xtr03
N0.HOG0002085	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002086	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002087	Cmi05	Cpl11	Ler10	Loc10	Gga08	Xtr04
N0.HOG0002088	Cmi01	Cpl02	Ler03	Loc04	GgaZ	Xtr01
N0.HOG0002089	Cmi21	Cpl31	Ler29	Loc19	Gga28	Xtr01
N0.HOG0002090	Cmi22	Cpl36	Ler33	Loc03	Gga10	Xtr03
N0.HOG0002091	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002092		Cpl02			Gga10	
N0.HOG0002093	Cmi01		Ler03	Loc02	GgaZ	
N0.HOG0002094	Cmi22	Cpl32	Ler33	Loc03		Xtr01, Xtr03
N0.HOG0002095	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002096	Cmi21	Cpl31	Ler29	Loc19		Xtr01
N0.HOG0002097	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002098	Cmi21	Cpl31	Ler29	Loc19	Gga28	Xtr01
N0.HOG0002099	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002100		Cpl51		Loc24		
N0.HOG0002101	Cmi26	Cpl36		Loc03		Xtr03
N0.HOG0002102	Cmi21	Cpl31	Ler29	Loc19	Gga28	Xtr01
N0.HOG0002103	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002104	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
N0.HOG0002105	Cmi05	Cpl11	Ler10	Loc10	Gga08	Xtr04
N0.HOG0002106	Cmi05	Cpl11		Loc10	Gga08	Xtr04
N0.HOG0002107	Cmi01	Cpl01	Ler01	Loc02	GgaZ	Xtr01
N0.HOG0002108	Cmi05	Cpl11	Ler10	Loc10	Gga08	Xtr04
N0.HOG0002109	Cmi01	Cpl01	Ler01	Loc02	GgaZ	Xtr01
N0.HOG0002110	Cmi21	Cpl31	Ler29	Loc19	Gga28	Xtr01
N0.HOG0002111	Cmi01	Cpl01	Ler01	Loc02	GgaZ	Xtr01
N0.HOG0002112	Cmi01	Cpl01	Ler01	Loc02	GgaZ	
N0.HOG0002113	Cmi26	Cpl51	LerSca	Loc03, Loc24	Gga25	Xtr08
N0.HOG0002114	Cmi26	Cpl40	Ler36	Loc03	Gga10	Xtr03
N0.HOG0002115	Cmi01	Cpl01	Ler01	Loc02	GgaZ	Xtr01
N0.HOG0002116	Cmi22	Cpl36	Ler33	Loc03	Gga10	Xtr03
N0.HOG0002117	Cmi01	Cpl01	Ler01	Loc02	GgaZ	Xtr01
N0.HOG0002118	Cmi01	Cpl02	Ler03	Loc02		
N0.HOG0002119	Cmi01	Cpl02	Ler03	Loc02, Loc04	GgaZ	Xtr01
N0.HOG0002120	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002121	Cmi02	Cpl05	Ler02	Loc09	Gga02	Xtr06
N0.HOG0002122	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002123	Cmi02	Cpl05	Ler02	Loc09	Gga02	Xtr06
N0.HOG0002124	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002125	Cmi02	Cpl05	Ler02	Loc09	Gga02	Xtr06
N0.HOG0002126		Cpl05	Ler02	Loc11		Xtr06
N0.HOG0002127	Cmi18, Cmi02	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002128	Cmi02	Cpl05	LerSca	Loc09	Gga02	Xtr06
N0.HOG0002129	Cmi02	Cpl05	Ler02	LocSca	Gga02	Xtr06
N0.HOG0002130	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002131	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
N0.HOG0002132	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002133	Cmi02	Cpl04	Ler04	Loc11	Gga02	
N0.HOG0002134	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002135	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002136	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002137	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002138	Cmi02	CplSca	Ler02	Loc09	Gga02	Xtr06
N0.HOG0002139	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002140	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002141	Cmi27	Cpl43	Ler40	Loc04	Gga34	Xtr02
N0.HOG0002142	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002143	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002144	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002145	Cmi02	Cpl29	Ler02	Loc09		Xtr06
N0.HOG0002146	Cmi18	Cpl05, Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002147	Cmi02, Cmi11	Cpl13	Ler14	Loc14	Gga09	
N0.HOG0002148	Cmi04	Cpl06		Loc14	Gga01	Xtr02, Xtr05
N0.HOG0002149	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002150	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002151	Cmi02	Cpl05	Ler02		Gga02	Xtr06
N0.HOG0002152	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002153	Cmi02	Cpl05		Loc11	Gga02	Xtr01
N0.HOG0002154	Cmi14	Cpl17	Ler17	Loc23	Gga11	Xtr04
N0.HOG0002155	Cmi27	Cpl43	Ler40	Loc04		Xtr02
N0.HOG0002156	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002157	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002158	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002159	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr10, Xtr06
N0.HOG0002160	Cmi02		Ler02		Gga02	Xtr06
N0.HOG0002161	Cmi02	Cpl05	Ler02	Loc11, Loc12	Gga02	Xtr06
N0.HOG0002162	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002163	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002164	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002165	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002166	Cmi02	Cpl05		Loc11		Xtr06
N0.HOG0002167	Cmi23	Cpl33	Ler27	Loc12, Loc15	Gga07, Gga27	Xtr09
N0.HOG0002168	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002169	Cmi06	Cpl07	Ler07	Loc12	Gga07	Xtr09
N0.HOG0002170	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002171	Cmi02	Cpl05	Ler02	Loc09	Gga02	Xtr06
N0.HOG0002172	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002173	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002174	Cmi02	Cpl05	Ler02		Gga02	Xtr06
N0.HOG0002175	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002176	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002177	Cmi23	Cpl16	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002178	Cmi06	Cpl07	LerSca	Loc12	Gga07	Xtr09
N0.HOG0002179	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
N0.HOG0002180				Loc16, Loc09		
N0.HOG0002181	Cmi03	Cpl03	Ler05		Gga03	Xtr05
N0.HOG0002182	Cmi02	Cpl29	Ler02		Gga02	Xtr06
N0.HOG0002183	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
N0.HOG0002184	Cmi14	Cpl17	Ler17	Loc23	Gga11	
N0.HOG0002185	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
N0.HOG0002186	Cmi03			Loc01		
N0.HOG0002187	Cmi10	Cpl27	Ler26	Loc06		
N0.HOG0002188	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002189	Cmi14	Cpl17	Ler17	Loc23	Gga11	Xtr04
N0.HOG0002190	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002191	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
N0.HOG0002192	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002193	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002194	Cmi10	Cpl27		Loc06	Gga23	Xtr02
N0.HOG0002195	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002196	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002197	Cmi02		Ler04	Loc09	Gga02	Xtr06
N0.HOG0002198		Cpl03, Cpl04				
N0.HOG0002199	Cmi02		Ler04	Loc09	Gga02	Xtr06
N0.HOG0002200	Cmi03		Ler05	Loc01	Gga03	Xtr05
N0.HOG0002201	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002202	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002203	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
N0.HOG0002204	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002205	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002206	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002207	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
N0.HOG0002208	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002209	Cmi02	Cpl04	Ler43	Loc11	Gga02	Xtr06
N0.HOG0002210	Cmi23	Cpl33	Ler27	Loc15	Gga27	Xtr10
N0.HOG0002211	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr05
N0.HOG0002212	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002213	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr05
N0.HOG0002214		Cpl34	Ler30	Loc25	Gga21	Xtr07
N0.HOG0002215	Cmi03	CplSca	Ler05	Loc01	Gga03	Xtr07, Xtr05
N0.HOG0002216	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002217	Cmi03	Cpl03	LerSca	Loc01	Gga03	Xtr05
N0.HOG0002218	Cmi03	Cpl03		Loc01	Gga03	Xtr05
N0.HOG0002219	Cmi18, Cmi03	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002220	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002221	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002222	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002223	Cmi10	Cpl27		Loc06	Gga23	Xtr02
N0.HOG0002224	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002225	Cmi18	Cpl20	Ler21	Loc18	Gga20	Xtr10
N0.HOG0002226	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002227	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002228	Cmi03	Cpl03		Loc01	Gga03	Xtr05
N0.HOG0002229	Cmi03	Cpl03	Ler05	Loc11	Gga03	Xtr05
N0.HOG0002230	Cmi03		Ler14, Ler05	Loc01	Gga03	Xtr05
N0.HOG0002231	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002232	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002233	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002234	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002235	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002236	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002237	Cmi04	Cpl12	Ler13	Loc03	Gga01	Xtr02
N0.HOG0002238	Cmi03	Cpl03		Loc01	Gga03	Xtr05
N0.HOG0002239	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002240	Cmi03	Cpl03	Ler05			Xtr05
N0.HOG0002241	Cmi15	Cpl12, Cpl15	Ler13, Ler12	Loc17	Gga01	Xtr02
N0.HOG0002242	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002243	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002244	Cmi10	Cpl27	Ler26	Loc06		
N0.HOG0002245	Cmi03	Cpl03	Ler04, Ler05	Loc01	Gga03	Xtr05
N0.HOG0002246	Cmi03	Cpl03	LerSca	Loc01	Gga03	Xtr05
N0.HOG0002247	Cmi04	Cpl12	Ler13	Loc14		
N0.HOG0002248	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
N0.HOG0002249	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr05
N0.HOG0002250	Cmi03	Cpl03		Loc16	Gga03	Xtr05
N0.HOG0002251	Cmi09	Cpl41	Ler38	Loc02, Loc07	Gga05	Xtr08
N0.HOG0002252	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
N0.HOG0002253	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr05
N0.HOG0002254	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
N0.HOG0002255	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
N0.HOG0002256	CmiSca	Cpl41	Ler38	Loc02	Gga38	Xtr08
N0.HOG0002257	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr05
N0.HOG0002258	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002259	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr05
N0.HOG0002260	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002261	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr05
N0.HOG0002262	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr05
N0.HOG0002263	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr05
N0.HOG0002264	Cmi09	Cpl10	Ler09	Loc28, Loc02, Loc07	Gga05	Xtr08
N0.HOG0002265	Cmi03			Loc16	Gga03	Xtr05
N0.HOG0002266		Cpl10	Ler09	LocSca	Gga05	Xtr08
N0.HOG0002267		Cpl45	LerSca	Loc28, Loc01	Gga03	Xtr05
N0.HOG0002268		Cpl45	Ler05	Loc16	Gga03	Xtr05
N0.HOG0002269	Cmi03	Cpl09	Ler05	Loc28		Xtr04
N0.HOG0002270	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
N0.HOG0002271	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
N0.HOG0002272	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
N0.HOG0002273	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
N0.HOG0002274	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
N0.HOG0002275		Cpl41	Ler38	Loc02	Gga39	Xtr08, Xtr04
N0.HOG0002276	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
N0.HOG0002277	Cmi09	Cpl10	Ler09	Loc07	Gga05	Xtr08
N0.HOG0002278			Ler09, Ler05			
N0.HOG0002279	Cmi09	Cpl10		Loc07	Gga05	Xtr08
N0.HOG0002280	Cmi03	Cpl03		Loc01	Gga03	Xtr05
N0.HOG0002281	Cmi03	Cpl09	Ler08	Loc06, Loc01	Gga03	Xtr05
N0.HOG0002282	Cmi10	Cpl27	Ler26	LocSca	Gga23	
N0.HOG0002283	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr05
N0.HOG0002284	Cmi10	Cpl27	Ler26	Loc06	Gga23	Xtr02
N0.HOG0002285	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr05
N0.HOG0002286	Cmi03	Cpl09		Loc16	Gga03	Xtr05
N0.HOG0002287	Cmi03	Cpl09, Cpl45	Ler08, Ler44	Loc01	Gga03	Xtr05
N0.HOG0002288	Cmi25	Cpl35	Ler32	Loc26	Gga24	Xtr07
N0.HOG0002289	Cmi04	Cpl12	Ler13	Loc14	Gga01	Xtr02
N0.HOG0002290	Cmi04	Cpl12	Ler13	Loc14	Gga01	Xtr02
N0.HOG0002291	Cmi04	Cpl12	Ler13	Loc14	Gga01	Xtr02
N0.HOG0002292	Cmi04	Cpl12	Ler13	Loc14	Gga01	Xtr02
N0.HOG0002293	Cmi25	Cpl35	Ler32	Loc26	Gga24	Xtr07
N0.HOG0002294	Cmi04	Cpl07	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002295	Cmi15	Cpl15	LerSca	Loc07	Gga04	Xtr08
N0.HOG0002296	Cmi04	Cpl12	Ler13	Loc03	Gga01	Xtr02
N0.HOG0002297	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002298	Cmi04			Loc03		
N0.HOG0002299	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002300	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002301	Cmi11	Cpl13	Ler14	Loc14	Gga09	Xtr05
N0.HOG0002302	Cmi04	Cpl12		Loc14	Gga01	Xtr02
N0.HOG0002303	Cmi04	Cpl12	Ler13	Loc14		Xtr02
N0.HOG0002304	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002305	Cmi13, Cmi04		Ler11	Loc06	Gga13	Xtr03
N0.HOG0002306	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002307		Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002308					Gga08	Xtr04
N0.HOG0002309	Cmi04			Loc17		
N0.HOG0002310		Cpl06	Ler06	Loc07		
N0.HOG0002311	Cmi15		Ler12			
N0.HOG0002312	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002313	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002314	CmiSca	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002315	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002316	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002317	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002318	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002319		Cpl13	Ler14	Loc14, Loc07	Gga09	Xtr05
N0.HOG0002320	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002321	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002322	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002323	Cmi04	Cpl12	Ler13	Loc17	Gga01	Xtr02
N0.HOG0002324	Cmi13	Cpl14	Ler11	Loc06	Gga13	
N0.HOG0002325	Cmi04	Cpl10	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002326	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002327	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002328	Cmi11	Cpl13	Ler14	Loc14	Gga09	Xtr05
N0.HOG0002329	Cmi04	Cpl06		Loc03, Loc02	Gga01	Xtr02
N0.HOG0002330	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002331	Cmi04	Cpl06		Loc17	Gga01	Xtr02
N0.HOG0002332	Cmi04	Cpl06	Ler06	LocSca	Gga01	Xtr02
N0.HOG0002333	Cmi11	Cpl13		Loc14		
N0.HOG0002334	Cmi15			Loc07		Xtr08
N0.HOG0002335	Cmi04			Loc17	Gga01	Xtr02
N0.HOG0002336	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002337	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002338	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002339	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002340	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002341	Cmi15	CplSca	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002342	Cmi15	Cpl15	Ler12	Loc07	Gga04	Xtr08
N0.HOG0002343	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002344	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002345	Cmi04	Cpl06	Ler06	Loc03	Gga01	Xtr02
N0.HOG0002346	Cmi04	Cpl06	Ler06	Loc14	Gga01	Xtr02
N0.HOG0002347	Cmi11	Cpl13	Ler14	Loc14	Gga09	Xtr05
N0.HOG0002348	Cmi04	Cpl06	Ler06	Loc17	Gga01	Xtr02
N0.HOG0002349	Cmi13	Cpl14	Ler11	Loc06	Gga13	Xtr03
N0.HOG0002350	Cmi05	Cpl11	Ler10	Loc10	Gga08	Xtr04
